stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;räume;rkapazität;anzstudenten;tag;uhrzeit
GTM;0;192;911922040;Tunnelbau 2;0815;120;KL;20201;J; 3/201;22;7;8;08:00
KE;0;141;2010;Angwe. Mathematik 2;0017;90;KL;20201;J; L/128 1/U27;26;20;8;08:00
IM;0;172;1040;Physik für Ingenieure;5454;90;KL;20201;J; 3/101 8/043 1/U37;74;56;8;08:00
BB;0;192;601923050;Wasserwesen;15621;100;KL;20201;J; 3/224 1/U28;44;43;8;08:10
KI;0;1922;921922020;Strukturmechanik 2;15291;120;KL;20201;J; L/128;14;1;8;10:30
KI;0;131;1030;Strukturmechanik 1;15291;120;KL;20201;J; 3/101;30;2;8;10:30
KI;0;131;1040;Beme./Konstr. Leichtbau 1;0820;150;KL;20201;J; 8/043;22;1;8;10:30
KI;0;131;2020;Strukturmechanik 2;1131;120;KL;20201;J; 1/U37;22;10;8;10:30
GT;0;131;1030;Stahl- und Stahlbetonbau;15282;150;KL;20201;J; 1/111;16;1;8;10:30
KI;0;131;2030;Bemessen/Konst. Massivbau;15282;150;KL;20201;J; 8/008;16;11;8;10:30
PM;IBM;191;2020;Managing Business/Finance;0553;150;KL;20201;J; 1/020 8/023;28;23;8;10:30
AB;0;161;1020;Konstruktion Grundlagen;0178;120;KL;20201;J; 1/U27;12;11;8;10:30
MA;0;132;2040;Management und Recht 2;6841;90;KL;20201;J; 1/211;16;3;8;11:00
WI;0;112;3040;Datenbanksysteme;0312;60;KL;20201;J; 3/224 1/U28;44;42;8;11:00
IM;0;131;7010;Recht 2;1973;90;KL;20201;J; 3/201;22;17;8;11:00
MA;0;192;301923020;Kostenmanagement;15440;90;KL;20201;J; 8/003 3/203;31;23;8;11:00
ST;0;91;1010;Concepts Programm. Lang.;1741;120;KL;20201;J; 3/223;15;2;8;11:30
WBI;BE;112;6040;Wärmesch. u. Energietec.I;5454;120;KL;20201;J; 3/111 1/013;37;23;8;12:00
MB;FV;132;4050;Wirtschaft;6415;120;KL;20201;J; 1/303;15;2;8;13:00
MA;0;192;301928180;WPF Techn. Infrastruktur;6174;90;KL;20201;J; 1/210;15;6;8;13:00
BB;0;162;4050;Siedlungswasserwirtsch. I;15941;60;KL;20201;J; 3/224 1/U28;44;44;8;13:00
MB;0;132;2010;Analysis 2;2417;120;KL;20201;J; 3/101;30;21;8;13:30
BW;0;132;9004;Grundzüge des Marketing;0325;60;KL;20201;J; 1/U37 3/201 1/211;60;57;8;13:30
GTM;0;192;911922010;Geomechanik 2;3281;105;KL;20201;J; 8/003;16;8;8;13:30
MB;0;132;2040;Grundlagen Informatik 2;4406;120;KL;20201;J; 3/203 L/128;29;19;8;13:30
GTM;0;1922;911922020;Numerische Verfahren Geo.;3281;90;KL;20201;J; 1/U27;12;2;8;13:30
MB;0;132;3010;Stochastik;0082;120;KL;20201;J; 8/043 1/111;38;38;8;14:00
AB;0;141;1030;Technik Grundlagen;6317;210;KL;20201;J; 8/023;14;2;8;14:00
MB;0;182;1020;Lineare Algebra 1;0412;120;KL;20201;J; 1/020;14;4;8;14:00
MB;0;132;6010;Funktionentheorie;0455;120;KL;20201;J; 8/008;16;3;8;14:00
MB;0;182;3020;Lineare Algebra 2;4169;120;KL;20201;J; 3/223;15;4;8;14:30
PB;0;132;2030;Mathematik 2;1436;120;KL;20201;J; 3/111;22;3;8;15:00
WBI;0;112;4040;Investition u.Finanz.;1111;120;KL;20201;J; 1/013;15;3;8;15:00
PB;0;132;6050;Energietechnik 3;1436;120;KL;20201;J; 1/U28;22;2;8;15:00
MB;0;182;3030;Math. Anwendungen 2;3213;60;KL;20201;J; 3/224;22;4;8;15:00
MB;0;132;1010;Analysis 1;8461;120;KL;20201;J; 1/U37;22;20;8;15:30
PB;0;132;7040;Betriebspsychologie;3715;60;KL;20201;J; 3/201;22;19;8;15:30
PB;0;182;1040;Grundlagen Bau 1;0346;90;KL;20201;J; 1/211 1/210;31;19;8;15:30
GT;0;131;1050;Tunnelbau 1;0815;60;KL;20201;J; 1/303;15;1;8;16:00
PB;0;182;2020;Grundlagen Physik 2;1471;90;KL;20201;J; 1/U27;12;1;8;16:00
PB;0;182;3020;Wärmeschutz 1;0346;90;KL;20201;J; 8/003;16;13;8;16:15
PM;IBM;191;2030;Managing Information;0553;60;KL;20201;J; 3/203 L/128;29;22;8;16:30
PB;0;182;3030;Mathematik 3;0346;60;KL;20201;J; 3/101;30;15;8;16:30
BB;0;162;1030;Baustoffkunde I;0499;90;KL;20201;J; 1/U37 3/224 1/U28;66;63;9;08:00
PG;0;162;1040;Scientific Skills, Inter.;0139;90;KL;20201;J; 1/211 1/111;32;23;9;08:00
PG;0;162;2020;Advanced Topics in PRS;0790;90;KL;20201;J; 8/008;16;2;9;08:00
PG;0;162;2030;Geodata: Capture, Sources;0521;90;KL;20201;J; 8/003;16;2;9;08:00
BW;GM;132;9015;Nat.u.Intern. Rechnungsl.;0508;120;KL;20201;J; 3/203 1/210 1/303 3/223;60;60;9;08:00
KI;0;1922;921922030;Massivbau;15282;150;KL;20201;J; 3/111;22;1;9;08:00
PB;0;182;1010;Grundlagen Bauphysik 1;1471;90;KL;20201;J; 1/013 1/020;29;21;9;08:00
BW;GM;132;5141;Operations Research;1132;90;KL;20201;J; 3/101 8/043;52;37;9;08:00
WI;0;112;2030;Betriebl. Rechnungswesen;4136;90;KL;20201;J; L/128 1/U27;26;21;9;08:00
SP;0;171;1040;Regionalentwicklung;1023;90;KL;20201;J; 8/023;14;7;9;08:00
PB;0;182;3010;Schallschutz 1;3615;120;KL;20201;J; 3/201;22;13;9;08:00
BB;0;162;2060;Vermessungskunde;0521;60;KL;20201;J; 8/043 1/U37;44;35;9;10:30
MB;0;132;4040;Datenstrukturen/Algorith.;4406;120;KL;20201;J; 1/U27;12;1;9;10:30
IB;0;172;2040;Fachwissen Möbel 2;00693;60;KL;20201;J; L/128;14;1;9;10:30
ST;0;91;2120;Business Intelligence;0092;90;KL;20201;J; 1/020 8/023;28;27;9;10:30
ST;0;91;2030;Software Verification;15865;90;KL;20201;J; 8/003 1/013;31;28;9;10:30
VB;0;121;4010;Photogrammetrie;0236;180;KL;20201;J; 8/008;16;4;9;10:30
ST;0;91;1040;Software Engineering II;0342;120;KL;20201;J; 1/111;16;1;9;10:30
ST;0;91;1020;Databases II;0092;120;KL;20201;J; 1/211;16;4;9;10:30
SP;0;171;17880;Stadtbaugeschichte;6120;90;KL;20201;J; 1/U28;22;8;9;10:30
BB;0;192;601922020;Mechanik II;1969;120;KL;20201;J; 3/101;30;2;9;10:30
VB;0;121;2020;Physik;15649;90;KL;20201;J; 3/224;22;2;9;10:30
UL;0;172;7200;Umwelttechnologien;15786;60;KL;20201;J; 3/201;22;19;9;11:00
MB;0;132;4010;Analysis 3;0514;120;KL;20201;J; 3/203;15;2;9;11:00
UL;0;172;7300;Informationstechnologien;1132;60;KL;20201;J; 1/210;15;15;9;11:00
