stg;vert;pversion;pnr;pdtxt;ppruefer;pdauer;pform;psem;angeboten;(räume|aufsicht);rkapazität;anzstudenten;restplatz;tag;uhrzeit
MA;0;192;301929210;WPF Umweltrecht;0461;60;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;2040;Grundlagen Bau 2;0346;90;KL;20201;J;;0;0;0;0;08:00;
WBI;0;201;642011010;Mathematik I;15351;45;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601924060;Wasserwirtschaft/-bau I;15621;60;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601923040;Verkehrswesen I;6874;90;KL;20201;J;;0;0;0;0;08:00;
BB;0;192;601922040;Geotechnik I;0815;60;KL;20201;J;;0;0;0;0;08:00;
GTM;0;192;911921040;Planen und Entwerfen GT;1126;180;KL;20201;J;;0;0;0;0;08:00;
WBI;0;112;16040;Grundst- u. Grundb.recht;3698;45;KL;20201;J;;0;0;0;0;08:00;
VM;0;182;20410;Entw.von Verkehrsanlagen;6874;90;KL;20201;J;;0;0;0;0;08:00;
GM;0;132;9006;Operations Management;1006;90;KL;20201;J;;0;0;0;0;08:00;
PB;0;132;4010;Schallschutz 2;3615;120;KL;20201;J;;0;0;0;0;08:00;
IM;0;172;19120;Raumplanung Schw.Verkehr;3904;45;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;18260;WPF Umweltrecht;0461;60;KL;20201;J;;0;0;0;0;08:00;
PG;0;162;2010;Planning, Organisation/M.;1098;120;KL;20201;J;;0;0;0;0;08:00;
IM;0;131;17120;Raumplanung;2111;45;KL;20201;J;;0;0;0;0;08:00;
BW;0;182;3191;Business English I;2555;60;KL;20201;J;;0;0;0;0;08:00;
IL;0;132;6030;Informationlog. Prozesse;3254;60;KL;20201;J;;0;0;0;0;08:00;
VIS;0;162;17660;Tunnelbau 1/Bauverf.i.TUB;0815;30;KL;20201;J;;0;0;0;0;08:00;
VB;0;121;3040;Informationstechnologien;0139;90;KL;20201;J;;0;0;0;0;08:00;
GT;0;131;1010;Strukturmechanik;15291;180;KL;20201;J;;0;0;0;0;08:00;
PB;0;182;6050;Energietechnik 3;7412;120;KL;20201;J;;0;0;0;0;08:00;
AB;0;161;18270;WPF Verwaltungs-u.Grundst;3714;90;KL;20201;J;;0;0;0;0;08:00;
IL;0;182;4030;Verteilte Systeme;15950;120;KL;20201;J;;0;0;0;0;08:00;
